time,paymentservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,adservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,paymentservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,adservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,paymentservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,adservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,cartservice_error,checkoutservice_error,frontend_error,frontend-external_error,paymentservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,adservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,paymentservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,adservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1693321693,1.040639134118943,6.093668892254197,0.879342003054761,6.0542882568687775,0.6238939688756049,14.473173184553245,5.72383643784558,0.3372746810986852,7.245618169423827,4.688382238505953,0.3239765655714652,0.8487490821167657,93310976,52232192,10932224,46489600,42237952,15982592,64385024,40615936,9220096,46575616,3051520,8904704,68.0,146.0,16.0,390.0,14.0,68.0,70.0,16.0,820.0,106.0,56.0,0,0,0,0,0.0012808314142407,0.0031525467020665,0.0205102203075715,0.0003589963395329,0.002807486631016,0.0203463990978758,0.0020571428571428,0.000319120376181,0.0033080323097664,0.0003848228056687,0.0043294309192279,0.0048745840637197,0.0418421377432209,0.0038860538098578,0.0045957219251336,0.0834315551264911,0.0044114285714285,0.0032996122544885,0.0068632988155488,0.0038674913794128
1693321694,1.0625831297775217,6.093668892254197,0.879342003054761,6.054288256868777,0.6238939688756049,14.473173184553245,5.72383643784558,0.3457754754215973,7.264816562456645,4.688382238505953,0.3239765655714652,0.8487490821167657,93310976,52232192,10932224,46489600,42237952,15982592,64385024,40886272,9220096,46575616,3051520,8904704,58.0,118.348,8.0,365.953,6.0,53.763,64.0,6.0,665.649,89.86,35.217,0,0,0,0,0.0012808314142407,0.0031525530404817,0.0205102179041903,0.0003589971779871,0.002856322686615,0.0204285290147698,0.0020571428571428,0.0003191239051079,0.0033080199754571,0.0003848383159729,0.0043294309192279,0.0048745954728671,0.0418421329323063,0.0038860605530098,0.0046040858271028,0.0841241714318576,0.0044114285714285,0.003299684096941,0.0068631258735996,0.0038675769883083
1693321695,1.0845271254361002,6.093668892254197,0.879342003054761,6.054288256868777,0.6238939688756049,14.473173184553245,5.72383643784558,0.3457754754215973,7.264816562456645,4.688382238505953,0.3239765655714652,0.8487490821167657,93310976,52232192,10932224,46489600,42237952,15982592,64385024,40886272,9220096,46575616,3051520,8904704,55.598,78.988,2.114,211.979,0.0,48.0,40.169,2.0,480.354,61.598,14.981,0,0,0,0,0.0012807209035025,0.0031522567683288,0.0204801548451337,0.0003589872022112,0.0028599071978622,0.0204285135452729,0.0020206896551724,0.0003191286866194,0.0033080323097664,0.000385016044066,0.0043294095278143,0.0048740621829919,0.0417672902892774,0.0038858581862215,0.0046039826638173,0.0841241243450478,0.0044041379310344,0.0032997559626158,0.0068632988155488,0.0038684248561064
1693321696,1.1064711210946787,6.093668892254197,0.879342003054761,6.054288256868777,0.6238939688756049,14.880149684894562,5.72383643784558,0.3457754754215973,7.264816562456645,4.909744154961859,0.3239765655714652,0.8487490821167657,93310976,52232192,10932224,46489600,42237952,15982592,64385024,40886272,9220096,46579712,3051520,8904704,52.0,72.0,2.0,146.0,4.0,44.0,32.0,4.0,438.0,62.0,14.0,0,0,0,0,0.001297249042754,0.0031540705623409,0.020500028172626,0.0003615146435846,0.00286,0.0204693608035587,0.0020206896551724,0.0003181163414479,0.0033135920200183,0.0003775693987549,0.0043375841776743,0.0048773270122137,0.0418304226353311,0.0039239231784963,0.004604,0.0857671354040905,0.0044041379310344,0.0032834999686292,0.0069701217799875,0.0038256918805775
1693321697,1.1284151167532572,6.093668892254197,0.8983538556342248,6.054288256868777,0.6238939688756049,14.880149684894562,5.72383643784558,0.3457754754215973,7.264816562456645,4.909744154961859,0.3239765655714652,0.8642436786238814,93310976,52232192,10932224,46489600,42237952,15982592,64385024,40886272,9220096,46579712,3051520,8904704,44.0,88.0,2.0,214.0,0.0,36.0,44.0,0.0,568.0,80.0,28.0,0,0,0,0,0.0012795931361933,0.0031506211299838,0.0205882824103648,0.0003604011161228,0.00286,0.0204624239316866,0.0020206896551724,0.0003183075060679,0.0033123574674777,0.0003865072352091,0.0043277086060465,0.0048711180339709,0.041967302768444,0.0039000055269779,0.004604,0.0844289352592231,0.0044041379310344,0.0032816529874847,0.0069224158305452,0.0038764699660594
1693321698,1.3166397395147151,6.093668892254197,0.8983538556342248,6.054288256868777,0.508785893584682,14.880149684894562,5.821520321059786,0.3457754754215973,7.264816562456645,4.909744154961859,0.3239765655714652,0.8642436786238814,93310976,52232192,10932224,46489600,42237952,15982592,64385024,40886272,9220096,46579712,3051520,8904704,34.0,82.0,4.0,174.0,4.0,30.0,24.0,2.0,326.0,64.0,18.0,0,0,0,0,0.0012788461538461,0.0031351706973477,0.0205882352941176,0.0003603776686873,0.00286,0.020462457578489,0.0020206896551724,0.0003180216088202,0.0032920195021811,0.0003864040814474,0.0043275641025641,0.004843307255226,0.0419672131147541,0.0038998123693136,0.004604,0.084428989751098,0.0044041379310344,0.0032753083994923,0.0065532994923857,0.0038759134371188
1693321699,1.3166397395147151,6.093668892254197,0.8983538556342248,6.054288256868777,0.5191847713737285,14.880149684894562,5.821520321059786,0.2641120883876083,7.264816562456645,4.909744154961859,0.3285839577541227,0.8642436786238814,93310976,52232192,10932224,46489600,42237952,15982592,64385024,40886272,9220096,46579712,3051520,8904704,46.0,108.0,0.0,370.0,0.0,32.0,48.0,0.0,652.0,86.0,32.0,0,0,0,0,0.0012788461538461,0.0031351832088224,0.0205882352941176,0.0003603871648086,0.0028680203045685,0.0203125065104076,0.0020206896551724,0.0003180430115487,0.0032920195021811,0.0003864610111396,0.0043275641025641,0.0048433297758804,0.0419672131147541,0.0038998898273962,0.0046060913705583,0.0809923076923077,0.0044041379310344,0.0032758099665843,0.0065532994923857,0.0038762204724409
1693321700,1.3166397395147151,4.730035000000186,0.8983538556342248,6.054288256868777,0.529583649162775,14.880149684894562,5.821520321059786,0.2694226175741609,7.264816562456645,4.909744154961859,0.330312956995228,0.8642436786238814,93310976,52232192,10932224,46489600,42237952,15982592,64385024,40886272,9220096,46579712,3051520,8904704,72.0,104.0,4.0,340.0,4.0,58.0,58.0,2.0,586.0,70.0,28.0,0,0,0,0,0.0012788461538461,0.0031351832088224,0.0205194805194805,0.0003602431862671,0.0028680203045685,0.0203125065104076,0.0019790209790209,0.0003179816445858,0.0032920195021811,0.0003867153912295,0.0043275641025641,0.0048433297758804,0.0418333333333333,0.0038988053666605,0.0046060913705583,0.0809923076923077,0.0043958041958041,0.0032744984006978,0.0065532994923857,0.0038776025236593
1693321701,1.3166397395147151,5.591223990649284,0.8983538556342248,6.054288256868777,0.6239326673427947,14.880149684894562,5.821520321059786,0.2747331467607135,7.264816562456645,4.909744154961859,0.330312956995228,0.8642436786238814,93310976,52232192,10932224,46489600,42237952,15982592,64385024,40886272,9220096,46579712,3051520,8904704,64.0,102.0,6.0,334.0,4.0,60.0,60.0,4.0,584.0,80.0,28.0,0,0,0,0,0.0012312608948285,0.003118619170033,0.0203187919463087,0.0003578181519237,0.0028680203045685,0.0202181613379827,0.0019790209790209,0.0003133931601372,0.0032657157950343,0.0003777103209019,0.004274142940151,0.0048135145060594,0.0414351851851851,0.0038266129032258,0.0046060913705583,0.0778130081300812,0.0043958041958041,0.0031382801446313,0.0060495750708215,0.0038265758091993
1693321702,1.3166397395147151,5.478103145956115,0.8983538556342248,6.054288256868777,0.6239326673427947,14.977516401444785,5.821520321059786,0.3186317511931522,7.264816562456645,4.909744154961859,0.330312956995228,0.8642436786238814,93310976,52232192,10932224,46489600,42237952,15974400,64385024,40886272,9220096,46579712,3051520,8904704,90.0,110.0,2.0,414.0,0.0,68.0,66.0,0.0,638.0,84.0,22.0,0,0,0,0,0.0012219839142091,0.0031173144876325,0.0205,0.0003582392177669,0.0028680203045685,0.0201988520349378,0.0019790209790209,0.0003137210381769,0.0032717115286947,0.0003885047536732,0.0042718498659517,0.0048111660777385,0.0417916666666666,0.0038423205652658,0.0046060913705583,0.0773858267716535,0.0043958041958041,0.0031420960987094,0.006138961038961,0.0038870109546165
