time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,PassthroughCluster_load,adservice_load,cartservice_load,checkoutservice_load,currencyservice_load,emailservice_load,frontend_load,frontend-external_load,paymentservice_load,productcatalogservice_load,recommendationservice_load,shippingservice_load,adservice_latency,cartservice_latency,checkoutservice_latency,currencyservice_latency,emailservice_latency,frontend_latency,paymentservice_latency,productcatalogservice_latency,recommendationservice_latency,shippingservice_latency,time,PassthroughCluster_error,frontend_error,frontend-external_error
1685200588,44.5032832308396,4.965415731770697,1.9474504797416081,7.952499724473654,0.992254999526113,17.725886430325193,7.9113339029027685,0.45797248337164104,11.843232773641411,6.709129400200699,0.6381321645893657,1.5685022510215072,94769152.0,52727808.0,11677696.0,39002112.0,42024960.0,17453056.0,66658304.0,36745216.0,9687040.0,46964736.0,2953216.0,9113600.0,0.0,22.0,38.0,0.0,116.0,0.0,26.0,26.0,2.0,242.0,50.0,12.0,0.004832328106151989,0.02174528301886789,0.04918224299065421,0.004956609696546913,0.0046,0.3814858490566038,0.00463103448275862,0.006510142543859657,0.01418536585365852,0.004676339285714286,1685200588,0.0,0.0,0.0
1685200589,37.3763507035523,4.957174346573728,1.9474504797416081,7.952499724473654,0.992254999526113,17.707374870632428,7.9113339029027685,0.4087815549353051,11.903299133529648,6.709129400200699,0.6381321645893657,1.5685022510215072,94769152.0,53563392.0,11677696.0,39002112.0,42024960.0,17326080.0,66658304.0,36745216.0,9687040.0,46964736.0,2953216.0,9113600.0,0.0,66.0,108.0,4.0,308.0,4.0,64.0,64.0,4.0,714.0,94.0,40.0,0.004832328106151989,0.022144230769230732,0.04918224299065421,0.004957857892894644,0.0046,0.3998971193415635,0.004633333333333333,0.006516173245614026,0.01418536585365852,0.004677727272727273,1685200589,0.0,0.0,0.0
1685200590,37.3763507035523,4.957174346573728,1.6819480643368356,7.836972609306381,0.992254999526113,17.657917936504212,7.9113339029027685,0.4087815549353051,11.903299133529648,6.709129400200699,0.6381321645893657,1.5685022510215072,94769152.0,53563392.0,11677696.0,39501824.0,42024960.0,17326080.0,66658304.0,36745216.0,9687040.0,46964736.0,2953216.0,9113600.0,0.0,12.065,16.065,0.0,110.516,0.0,18.0,16.129,0.0,152.613,10.048,4.0,0.004832328106151989,0.022317307692307654,0.04918224299065421,0.004958029579597065,0.0046,0.3998971193415635,0.004631304347826087,0.006513157894736836,0.01418536585365852,0.004676510067114094,1685200590,0.0,0.0,0.0
1685200591,37.3763507035523,4.957174346573728,1.6494905563411422,7.836972609306381,0.992254999526113,17.657917936504212,7.9113339029027685,0.4585687868550957,11.903299133529648,6.709129400200699,0.6381321645893657,1.5685022510215072,94769152.0,53563392.0,11677696.0,39501824.0,42024960.0,17326080.0,66658304.0,36745216.0,9687040.0,46964736.0,2953216.0,9113600.0,0.0,58.0,116.0,16.0,362.739,12.0,74.0,74.0,10.0,613.325,66.0,46.0,0.004854089709762533,0.05659090909090861,0.04928217821782178,0.004988853381055861,0.0046,0.3998971193415635,0.004631304347826087,0.006741863075196406,0.015334975369458131,0.004668327402135231,1685200591,0.0,0.0,0.0
1685200592,37.3763507035523,4.957174346573728,1.6170330483454485,7.836972609306381,0.992254999526113,17.657917936504212,7.9113339029027685,0.4585687868550957,11.903299133529648,6.709129400200699,0.6381321645893657,1.5685022510215072,94769152.0,53563392.0,11677696.0,39501824.0,42024960.0,17326080.0,66658304.0,36745216.0,9687040.0,46964736.0,2953216.0,9113600.0,0.0,62.0,132.0,6.0,316.0,4.0,60.0,60.0,4.0,744.0,98.0,46.0,0.004863361547762999,0.15113636363636318,0.049340909090909095,0.005240458015267176,0.0046,0.3998971193415635,0.004631304347826087,0.007010683760683755,0.017648148148148166,0.004664864864864865,1685200592,0.0,0.0,0.0
1685200593,15.283029063615045,5.172172719776896,1.9326248837007467,7.836972609306381,0.992254999526113,17.657917936504212,7.9113339029027685,0.45856878685509583,11.903299133529648,6.709129400200699,0.6381321645893657,1.5685022510215072,94769152.0,53563392.0,11587584.0,39501824.0,42024960.0,17326080.0,66658304.0,36745216.0,9687040.0,46964736.0,2953216.0,9113600.0,0.0,62.0,88.0,0.0,254.0,0.0,56.0,56.0,0.0,518.0,74.0,26.0,0.004863361547762999,0.15113636363636318,0.049340909090909095,0.005240458015267176,0.0046,0.3998971193415635,0.004631304347826087,0.007010683760683755,0.017648148148148166,0.004664864864864865,1685200593,0.0,0.0,0.0
1685200594,15.283029063615045,5.172172719776896,1.9326248837007467,7.836972609306381,1.0414270411709383,17.657917936504212,7.9113339029027685,0.45856878685509583,11.903299133529648,6.709129400200699,0.6381321645893657,1.5685022510215072,94769152.0,53563392.0,11587584.0,39501824.0,42029056.0,17326080.0,66658304.0,36745216.0,9687040.0,46964736.0,2953216.0,9113600.0,0.0,58.0,112.0,6.0,460.0,2.0,62.0,62.0,2.0,580.661,69.873,30.0,0.004863361547762999,0.15431818181818133,0.049340909090909095,0.005245038167938936,0.0046,0.42112244897959195,0.004633333333333333,0.0070128358044016575,0.017648148148148166,0.0046659038901601824,1685200594,0.0,0.0,0.0
1685200595,15.283029063615045,5.172172719776896,1.6236359312223125,7.836972609306381,1.0414270411709383,17.657917936504212,7.9113339029027685,0.4585687868550957,11.903299133529648,6.709129400200699,0.6381321645893657,1.5685022510215072,94769152.0,53563392.0,11587584.0,39501824.0,42029056.0,17326080.0,66658304.0,36745216.0,9687040.0,46964736.0,2953216.0,9113600.0,0.0,52.0,92.0,4.0,278.0,3.984,56.0,56.0,2.0,452.0,60.0,24.0,0.004863361547762999,0.1506818181818177,0.049340909090909095,0.005225190839694651,0.0046,0.42112244897959195,0.00463103448275862,0.007008547008547006,0.017648148148148166,0.004664719101123595,1685200595,0.0,0.0,0.0
1685200596,15.283029063615045,5.172172719776896,1.655832723338324,7.836972609306381,1.0414270411709383,17.657917936504212,7.947666288414068,0.4585687868550957,11.903299133529648,6.709129400200699,0.6381321645893657,1.5685022510215072,94769152.0,53563392.0,11587584.0,39501824.0,42029056.0,17326080.0,66662400.0,36745216.0,9687040.0,46964736.0,2953216.0,9113600.0,0.0,62.0,72.0,0.0,240.0,2.0,48.583,50.0,1.984,572.0,60.0,24.0,0.004885981308411215,0.21159090909090883,0.04931818181818181,0.005275173611111115,0.0046,0.42112244897959195,0.00463103448275862,0.006987713675213678,0.018642857142857152,0.004665853658536586,1685200596,0.0,0.0,0.0
1685200597,15.283029063615045,5.172172719776896,1.931807526960721,7.836972609306381,1.0414270411709383,17.657917936504212,7.947666288414068,0.4585687868550957,11.903299133529648,5.634063327011536,0.6381321645893657,1.5685022510215072,94769152.0,53563392.0,11587584.0,39501824.0,42029056.0,17326080.0,66662400.0,36745216.0,9687040.0,46964736.0,2953216.0,9113600.0,0.0,44.938,105.481,6.988,300.539,9.412,38.0,40.0,9.028,692.04,78.0,55.975,0.004861538461538462,0.15886363636363646,0.04942857142857143,0.004981390864167772,0.0046,0.42112244897959195,0.00463103448275862,0.006718766473379018,0.017435344827586186,0.004661016949152542,1685200597,0.0,0.0,0.0
1685200598,15.283029063615045,5.172172719776896,1.931807526960721,7.836972609306381,1.0414270411709383,17.657917936504212,7.947666288414068,0.4585687868550957,11.903299133529648,5.749035216836717,0.6648641678583218,1.5685022510215072,94769152.0,53563392.0,11587584.0,39501824.0,42029056.0,17326080.0,66662400.0,36745216.0,9687040.0,46964736.0,2953216.0,9113600.0,0.0,68.0,120.0,6.0,390.0,4.0,58.0,58.0,2.0,618.0,82.0,24.0,0.004861538461538462,0.15886363636363646,0.04942857142857143,0.004981390864167772,0.0046,0.42112244897959195,0.00463103448275862,0.006718766473379018,0.017435344827586186,0.004661016949152542,1685200598,0.0,0.0,0.0
