time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1702354457,1.8742322274881829,10.37987909410809,0.9008023077616618,11.695259629229778,0.8763887809804989,18.524443987666974,10.677462778392933,0.46292517006803746,8.909266463889102,7.271680844822495,0.5774549824903138,1.1580612905123218,94740480,53227520,10756096,77578240,42041344,15810560,55889920,34189312,9146368,44773376,3002368,8642560,62,90,4,276,2,50,42,4,508,72,14,0,0.003067191283292978,0.0036916400182731837,0.04083969465648855,0.0030565524068803364,0.0031052617844697147,0.06742268041237114,0.0030749999999999996,0.00215750207239569,0.00683001107419712,0.0023641618497109826,0.004791646489104117,0.008410029498525075,0.07628571428571428,0.004926123004578642,0.004789471212045486,0.2051784702549575,0.004735,0.004641945288753801,0.0115274599542334,0.0045917423616845575
1702354458,1.6054777384676409,10.37987909410809,0.9008023077616618,11.695259629229778,0.8763887809804989,18.524443987666974,10.733825273678208,0.46292517006803746,8.909266463889102,7.271680844822495,0.5774549824903138,1.1580612905123218,94740480,53227520,10756096,77578240,42041344,15810560,55910400,34189312,9146368,44773376,3002368,8642560,60,88,0,274,0,46,52,0,584,70,30,0,0.003067191283292978,0.0036916400182731837,0.04083969465648855,0.0030565524068803364,0.0031052665912606405,0.06678607983623337,0.0030749999999999996,0.00215750207239569,0.00683001107419712,0.0023641618497109826,0.004791646489104117,0.008410029498525075,0.07628571428571428,0.004926123004578642,0.004789479864269152,0.20430661205383263,0.004735,0.004641945288753801,0.0115274599542334,0.0045917423616845575
1702354459,1.5742405346761714,10.37987909410809,0.9008023077616618,11.695259629229778,0.8269190167395554,18.524443987666974,10.733825273678208,0.46292517006803746,7.13497101044545,7.271680844822495,0.5783895270560595,1.1580612905123218,94740480,53227520,10756096,77578240,42041344,15810560,55910400,34189312,9146368,44773376,3002368,8642560,60.364,100,0,328,2,62,44,0,624,80,30,0,0.003067191283292978,0.0036916400182731837,0.04083969465648855,0.0030565524068803364,0.0031052631578947372,0.06678607983623337,0.0030749999999999996,0.00215750207239569,0.00683001107419712,0.0023641618497109826,0.004791646489104117,0.008410029498525075,0.07628571428571428,0.004926123004578642,0.0047894736842105275,0.20430661205383263,0.004735,0.004641945288753801,0.0115274599542334,0.0045917423616845575
1702354460,1.5430033308847013,10.37987909410809,0.9008023077616618,11.695259629229778,0.8269190167395554,18.524443987666974,10.733825273678208,0.46292517006803746,7.282518344217668,7.271680844822495,0.5783895270560595,1.0252478715307938,94740480,53227520,10756096,77578240,42041344,15810560,55910400,34189312,9146368,44773376,3002368,8642560,56,104,6,308,2,54,50,6,700,88,38,0,0.003059710494571773,0.0036615419398598236,0.040625,0.0030447154471544714,0.0031052631578947372,0.0654241967871486,0.0030779220779220784,0.002148450394278379,0.0068119012527634495,0.002357083678541839,0.004777925211097708,0.008332317073170732,0.07500000000000002,0.0049037940379403795,0.0047894736842105275,0.20149386503067485,0.004740259740259742,0.0046190904089492045,0.011039285714285748,0.004582767191383595
1702354461,1.966321243523323,10.37987909410809,0.9008023077616617,11.695259629229778,0.8269190167395554,18.524443987666974,10.733825273678208,0.46292517006803746,7.430065677989889,7.271680844822495,0.5783895270560595,1.238022707531952,94760960,53227520,10756096,77578240,42041344,15810560,55910400,34189312,9146368,44773376,3002368,8642560,54,80,0,278,0,38,38,0,472,62,14,0,0.003057605760576058,0.003654226618705036,0.04072265625,0.0030434034181728757,0.0031184210526315793,0.0654241967871486,0.003064102564102565,0.0022158236420531507,0.0068119012527634495,0.002359271523178808,0.004775697569756977,0.008315567484662579,0.07560606060606062,0.004904561662363213,0.004813157894736843,0.20149386503067485,0.004715384615384616,0.0046346177198636224,0.011039285714285748,0.004585761589403973
1702354462,1.966321243523323,10.49299330330381,0.9008023077616617,11.695259629229778,0.8269190167395554,18.524443987666974,10.733825273678208,0.46292517006803746,7.5776130117621046,7.271680844822495,0.5783895270560595,1.238022707531952,94760960,53248000,10756096,77578240,42041344,15810560,55910400,34189312,9146368,44773376,3002368,8642560,56,106,6,322,7.937,54,48,6,612,74,36,0,0.003057605760576058,0.003654226618705036,0.04072265625,0.0030434034181728757,0.003116135456525859,0.0654241967871486,0.003064102564102565,0.002143758573388203,0.006832235638492498,0.0023704918032786885,0.004775697569756977,0.008315567484662579,0.07560606060606062,0.004904561662363213,0.004809043821746547,0.20149386503067485,0.004715384615384616,0.00461838134430727,0.011339907192575393,0.004586885245901639
1702354463,1.966321243523323,10.480299213966196,0.9008023077616617,11.695259629229778,0.8269190167395554,18.524443987666974,10.733825273678208,0.46292517006803746,7.725160345534324,7.271680844822495,0.5874256301863152,1.2413833608168279,94760960,53248000,10756096,77578240,42041344,15810560,55910400,34189312,9146368,44773376,3133440,8413184,46,84,0,320,2,48,44,2,478,54,30,0,0.003057605760576058,0.003654226618705036,0.04072265625,0.0030434034181728757,0.0031161290322580647,0.0658122833085686,0.003064102564102565,0.002143758573388203,0.006832235638492498,0.0023704918032786885,0.004775697569756977,0.008315567484662579,0.07560606060606062,0.004904561662363213,0.0048090322580645155,0.20167474258025436,0.004715384615384616,0.00461838134430727,0.011339907192575393,0.004586885245901639
1702354464,1.966321243523323,10.480299213966196,0.7404257168935449,11.695259629229778,0.8269190167395554,18.524443987666974,10.733825273678208,0.46292517006803746,8.852840026333093,7.271680844822495,0.5874256301863152,1.2413833608168279,94760960,53248000,10756096,77578240,42041344,15810560,55910400,34189312,9146368,44773376,3133440,8413184,72.462,94,4,364,4,58,50,4,650,80,32,0,0.003057605760576058,0.003654226618705036,0.04072265625,0.0030434034181728757,0.0031161290322580647,0.0658122833085686,0.003064102564102565,0.002143758573388203,0.006832235638492498,0.0023704918032786885,0.004775697569756977,0.008315567484662579,0.07560606060606062,0.004904561662363213,0.0048090322580645155,0.20167474258025436,0.004715384615384616,0.00461838134430727,0.011339907192575393,0.004586885245901639
1702354465,1.966321243523323,10.480299213966196,1.0771618077463965,11.695259629229778,0.8269190167395554,18.39884466865965,10.733825273678208,0.46414075832900153,8.852840026333093,7.271680844822495,0.5874256301863152,1.2413833608168279,94760960,53248000,10960896,77578240,42041344,15810560,55910400,34177024,9146368,44773376,3133440,8413184,58.052,80,0,248,0,36,44,0,430,62,16,0,0.00305505976705607,0.0036489887640449438,0.040625,0.0030370552147239264,0.0031161290322580647,0.06594721262950172,0.0030625,0.002142150803461063,0.006855518885221855,0.002360927152317881,0.004770919079619778,0.008291987673343604,0.075,0.004892662576687117,0.0048090322580645155,0.20166363636363632,0.0047125000000000005,0.004617268690198233,0.011790540540540522,0.004580794701986755
1702354466,1.966321243523323,10.480299213966196,1.0771618077463965,11.691754251351746,0.8077427198861229,18.39884466865965,10.733825273678208,0.46414075832900153,8.852840026333093,7.253378152198158,0.5874256301863152,1.2413833608168279,94760960,53248000,10960896,74416128,42041344,15810560,55910400,34177024,9146368,44773376,3133440,8413184,78,112.868,4,350,2,69.272,56,3.883,658,90,25.561,0,0.0030568692008380726,0.0036483032355603133,0.0406015037593985,0.0030347708563705617,0.003129035007235391,0.06594677369326397,0.003075020265401942,0.002209982707856241,0.006855518885221855,0.002361012597217944,0.004773241544447771,0.008294993802994848,0.07484848484848484,0.004887873203096205,0.004832263013023704,0.20166305641737856,0.004735036477723496,0.004633724353881386,0.011790540540540522,0.004577909295318697
